epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2113.42,1.82306,2.73217,1.43108,1.40247,0.43872,0.32967,0.32197,0.12413,0.48244,0.32967,0.28698,0.09806,2.11408,4.07294,2.02029,1.56861,0.00641125,0.00641125,0.00641125
31,2168.81,1.8135,2.7445,1.40543,1.36296,0.49322,0.49451,0.46943,0.20213,0.60859,0.38462,0.43358,0.14996,2.15246,3.47753,1.74012,1.52572,0.0062875,0.0062875,0.0062875
32,2227.95,1.85168,2.75952,1.3889,1.41359,0.59492,0.40659,0.43071,0.19638,0.57629,0.3956,0.40506,0.14469,2.11197,3.47908,1.78079,1.49987,0.00616375,0.00616375,0.00616375
33,2283.47,1.79476,2.6659,1.33382,1.37182,0.60131,0.47253,0.5185,0.20756,0.5606,0.43956,0.4447,0.15929,2.17051,3.48507,1.85218,1.56552,0.00604,0.00604,0.00604
34,2340.86,1.75532,2.6995,1.33317,1.32657,0.49686,0.43956,0.41129,0.18161,0.48082,0.46154,0.41077,0.15094,2.12024,3.3946,1.83909,1.59993,0.00591625,0.00591625,0.00591625
35,2396.51,1.7137,2.59654,1.29837,1.33288,0.6136,0.41758,0.46388,0.20693,0.60913,0.42814,0.42436,0.14845,2.11364,3.61037,1.7586,1.5181,0.0057925,0.0057925,0.0057925
36,2455.72,1.76959,2.62169,1.27109,1.35029,0.50436,0.45055,0.40407,0.17604,0.58896,0.32967,0.37479,0.12335,2.0011,3.69392,1.81666,1.50469,0.00566875,0.00566875,0.00566875
37,2513.47,1.70986,2.58924,1.27299,1.33253,0.45249,0.47253,0.40361,0.16912,0.41172,0.44611,0.36758,0.1223,2.05703,3.71858,1.83576,1.50184,0.005545,0.005545,0.005545
38,2567.34,1.69364,2.54303,1.23738,1.30582,0.6113,0.53846,0.51493,0.23386,0.62662,0.46106,0.4655,0.17964,2.10135,3.41145,1.57242,1.49448,0.00542125,0.00542125,0.00542125
39,2622.72,1.7097,2.55459,1.18829,1.29036,0.55866,0.45055,0.44344,0.17487,0.55034,0.44387,0.38102,0.1325,2.23301,3.74787,1.74307,1.54867,0.0052975,0.0052975,0.0052975
