candidate,display_epoch,weight,confidence,box_precision,box_recall,box_f2,mask_precision,mask_recall,mask_f2,combined_f2,box_map50,box_map50_95,mask_map50,mask_map50_95,operating_guard_passed,localization_guard_passed,eligible
baseline_final_v1,,./runs/segment/fracatlas_yolo11s_seg_final_v1/weights/best.pt,0.15715715715715717,0.5048084400497741,0.5713246005522358,0.5566550530889949,0.46596988632818775,0.5273685565961919,0.5138276245238094,0.5352413388064021,0.4891280818839693,0.23119798775848746,0.4361671423564018,0.1699920310067417,True,True,True
recall_v2_epoch_01,1,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch0.pt,0.15415415415415415,0.5080636483531212,0.5494505494505495,0.5406423958118967,0.5080636483531212,0.5494505494505495,0.5406423958118967,0.5406423958118967,0.4896066955667559,0.23096797011022993,0.4745222354846946,0.17180025546820557,True,True,True
recall_v2_epoch_02,2,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch1.pt,0.3563563563563564,0.6575191461977843,0.5274376406222216,0.5491667216306783,0.6164214437415184,0.49447060765518863,0.5148415260220988,0.5320041238263885,0.4981589742898926,0.22411220422613756,0.46761749600791935,0.18400668011465315,True,True,True
recall_v2_epoch_03,3,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch2.pt,0.17917917917917917,0.5103563482802639,0.5164835164835165,0.5152463413175756,0.48863905686408243,0.4945054945054945,0.4933209650912958,0.5042836532044357,0.4788591291404567,0.21862243782290083,0.44933907753948077,0.17064507511115182,True,True,True
recall_v2_epoch_04,4,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch3.pt,0.1921921921921922,0.5102936803693756,0.5274725274725275,0.5239448457699241,0.49966256202834697,0.5164835164835165,0.5130293281497174,0.5184870869598207,0.4653354004510549,0.21226769881828145,0.4449426381548183,0.16852701537960182,True,True,True
recall_v2_epoch_05,5,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch4.pt,0.2022022022022022,0.5286252488855915,0.5054945054945055,0.5099572855594217,0.5171333956489482,0.4945054945054945,0.4988712576124777,0.5044142715859496,0.4565875607667904,0.20560573592279222,0.42957526620793063,0.17373726877289233,True,False,False
recall_v2_epoch_06,6,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch5.pt,0.17217217217217218,0.5109478380718218,0.4835164835164835,0.48876456287776665,0.49933538720655307,0.4725274725274725,0.47765627735781746,0.483210420117792,0.4443819079316699,0.19869507338992248,0.4150732934071087,0.156176209055217,True,False,False
recall_v2_epoch_07,7,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch6.pt,0.15015015015015015,0.5106715587582755,0.5164835164835165,0.5153105656224777,0.4889408541302637,0.4945054945054945,0.49338245644705303,0.5043465110347654,0.42637554596293104,0.18316517753382003,0.3846365327284945,0.14062106032756358,True,False,False
recall_v2_epoch_08,8,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch7.pt,0.14814814814814814,0.5152517794402981,0.5494505494505495,0.5422523737403354,0.4946417082626863,0.5274725274725275,0.520562278790722,0.5314073262655288,0.4682066220591821,0.19873300538680277,0.42763811190670126,0.1591132440959573,True,False,False
recall_v2_epoch_09,9,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch8.pt,0.41041041041041043,0.6163658181131042,0.4945054945054945,0.5148640199936243,0.5889717817525219,0.4725274725274725,0.4919811746605743,0.5034225973270993,0.4594092599998764,0.19850862517580053,0.4123959868846735,0.15581995124717946,True,False,False
recall_v2_epoch_10,10,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch9.pt,0.2132132132132132,0.5526268391887484,0.5164835164835165,0.5233289484178111,0.5291108034785889,0.4945054945054945,0.5010596314638617,0.5121942899408364,0.46600433857437945,0.19431043801951714,0.40982359181520533,0.16141915392421505,True,False,False
recall_v2_epoch_11,11,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch10.pt,0.25225225225225223,0.5551658639890166,0.4945054945054945,0.505553383810223,0.5428288447892606,0.4835164835164835,0.4943188641699958,0.4999361239901094,0.4563237240893307,0.1956644745219897,0.4018709891686488,0.1550280597272263,True,False,False
recall_v2_epoch_12,12,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch11.pt,0.19019019019019018,0.5293758317679766,0.4945054945054945,0.5011071465478271,0.5176119243953551,0.4835164835164835,0.4899714321800976,0.4955392893639623,0.44748046986514656,0.20530949983486932,0.4076922042347655,0.15657690341460553,True,False,False
recall_v2_epoch_13,13,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch12.pt,0.14614614614614616,0.5427820998448658,0.5384615384615384,0.5393201392767369,0.5317049141337461,0.5274725274725275,0.5283136058221096,0.5338168725494232,0.4617104418684896,0.20078359844846183,0.41498438242242497,0.15663714140376442,True,False,False
recall_v2_epoch_14,14,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch13.pt,0.19119119119119118,0.5327879121307831,0.5054945054945055,0.5107271633048236,0.5096232202990101,0.4835164835164835,0.4885216344654835,0.49962439888515353,0.4585728890481577,0.19820294262705662,0.4038732792587564,0.1517429949944125,True,False,False
recall_v2_epoch_15,15,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch14.pt,0.19019019019019018,0.5166375790021513,0.5054945054945055,0.5076844993800492,0.49417507556727513,0.4835164835164835,0.48561126027656887,0.49664787982830905,0.4572931083904429,0.19778941227258307,0.39916850609833704,0.15326974821198724,True,False,False
recall_v2_epoch_16,16,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch15.pt,0.18018018018018017,0.5279723087223068,0.5164835164835165,0.5187411003108257,0.5167388553452366,0.5054945054945055,0.5077040556233612,0.5132225779670934,0.4615878639922366,0.1990605350197569,0.4124709854286716,0.1569738579393442,True,False,False
recall_v2_epoch_17,17,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch16.pt,0.16816816816816815,0.5217951163247064,0.5164835164835165,0.5175371677162893,0.5106930925731168,0.5054945054945055,0.5065257386159427,0.5120314531661161,0.467314469529236,0.20379408735493065,0.4218601186086164,0.16376068474584446,True,False,False
recall_v2_epoch_18,18,./runs/segment/fracatlas_yolo11s_seg_recall_v2/weights/epoch17.pt,0.1841841841841842,0.5220572153676679,0.5164835164835165,0.5175887147479666,0.4998420147137245,0.4945054945054945,0.49556366305656374,0.5065761889022652,0.4576811075830258,0.20359161661422256,0.40250961871404156,0.16058700999837025,True,False,False
